model,scenario,rmse_x1,rmse_x2,r2_x1,r2_x2,mae_x1,mae_x2
physics,1,2.4598401883612975,0.5187316268702605,-2.7431500571932284,0.6342698699021372,1.4716818538729335,0.4491334897147848
physics,2,3.447806825040907,0.08806940980750744,-3.3380413792052277,0.5269069769271673,2.305995010322036,0.053370631019219704
physics,3,2.629654923751838,0.19823287732259692,-1.5081024802902854,0.8453181545604689,1.4493567578476652,0.180679803863809
physics,4,1.594943807618943,0.030427731486356167,-6.907457430413714,0.987153881013916,1.3422996552510031,0.026626637911116493
physics,5,2.2771246855149676,0.15530874222164612,-7.097404194232334,-0.32666696681305907,2.1729909405135834,0.12551113041961676
physics,6,2.889602520846221,0.3581059761728142,-4.672995479765561,0.8830591386693009,1.6686726768167364,0.3070422025058383
physics,7,3.896556053963899,0.198330757633273,-3.555625435394786,0.6282629153032967,2.8201539789330305,0.1762142469512663
physics,8,2.1479980584140566,0.23530752011626976,-4.772761817978454,0.8166915150339955,1.8337118053698187,0.20758437966790488
physics,9,4.064139394082217,0.28667027851218674,-6.081638730387601,0.9026973745699198,3.0345034368783286,0.24285689762270735
physics,10,3.6738570308049514,0.6813154059546556,-2.036024679498284,0.5479936145594129,2.4757265055293174,0.4961349005983171
ude,1,2.4601773591446885,3.0977367496781554,-2.7441762761646395,-12.042603786995608,1.471491539207168,2.7935865986499206
ude,2,3.4481678882654347,1.7158554131557,-3.3389500085466395,-178.57991007926154,2.3066024381846075,1.5874048789676938
ude,3,2.6304169046821295,1.2892512008580719,-1.5095562095475432,-5.542791254766327,1.4499611609606278,1.115963719312032
ude,4,1.5950366090989003,1.7745974339641315,-6.908377644777918,-42.695074936802165,1.342457852254361,1.4997706859718796
ude,5,2.2751989354211752,2.80403580856786,-7.083714137389611,-431.45131431686383,2.1717728109202934,2.548074378808927
ude,6,2.8879662298041877,1.3310531967339623,-4.6665724209707635,-0.615600491048591,1.6675512058804347,0.984232353561744
ude,7,3.8917576473874,1.2270801651126595,-3.544412311201465,-13.229892496183943,2.8161095746563043,1.1799646866323323
ude,8,2.148257805367763,1.013077111411486,-4.774158046389233,-2.397785518602693,1.8341757836069295,0.9538091350682609
ude,9,4.061688230234339,1.481284827517975,-6.073099150121833,-1.597983394217282,3.032627973930745,1.029162544053981
ude,10,3.6731410512492064,0.9720356434470462,-2.0348414435861555,0.07994766472257775,2.474879229881182,0.9126800089957685
bnode,1,3.071764673061281,5.011997862305706,-4.837129591809663,-33.1426353323423,2.39073533385912,4.407172069401116
bnode,2,3.2192335416581535,4.06045241005258,-2.781924096919246,-1004.646209486329,2.5520832250828693,3.3607806551140746
bnode,3,2.3952082748773105,2.9239471033332136,-1.080819075370946,-32.65324897458606,1.8384376727664213,1.993934810505154
bnode,4,3.8366575203222526,3.5375975124685457,-44.75643247744901,-172.63994107885227,2.5161455596060716,2.8163291276753846
bnode,5,3.563644724278008,4.127941419966624,-18.83174808360314,-936.2105346218054,2.517587892346186,3.4692786056296656
bnode,6,3.5659877640788276,3.5075575804491597,-7.639645437239521,-10.21896438363327,2.8526832021575785,2.515184673811465
bnode,7,1.869577619021177,2.5994287036384716,-0.048752848863716336,-62.857449317380706,1.5084664023807746,2.244892908664789
bnode,8,2.870235503152768,2.5938730632413862,-9.307442821583638,-21.274521972353234,1.698758322809815,2.2053502771894307
bnode,9,2.231869221458941,2.9093341752929676,-1.1356695876948688,-9.021816325601002,1.6341590967838326,2.0643024191901223
bnode,10,1.2820410854107376,1.2742422581652921,0.6302870348605749,-0.581073860647269,0.7769898646751374,0.9430544853811786
